epoch,accuracy,loss,lr,precision,recall,top5_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top5_accuracy
0,0.937166690826416,0.2274966537952423,0.001,0.9710832834243774,0.9092037081718445,0.9918518662452698,0.5086666941642761,2.2797365188598633,0.7746564745903015,0.42283332347869873,0.6620000004768372
1,0.9792407155036926,0.07291044294834137,0.001,0.9828804731369019,0.9760185480117798,0.9996111392974854,0.24650000035762787,3.366279363632202,0.2613227069377899,0.22983333468437195,0.9416666626930237
2,0.9823148250579834,0.0591445192694664,0.001,0.9847478866577148,0.9804259538650513,0.9996481537818909,0.7648333311080933,1.0617854595184326,0.8030490875244141,0.7549999952316284,0.9054999947547913
3,0.9853518605232239,0.04918181523680687,0.001,0.9870332479476929,0.9839259386062622,0.9998518228530884,0.784333348274231,0.7866411209106445,0.8319709300994873,0.7633333206176758,0.9556666612625122
4,0.9875184893608093,0.04174176603555679,0.001,0.9889532327651978,0.9864259362220764,0.999833345413208,0.8820000290870667,0.372519850730896,0.8950247764587402,0.8725000023841858,0.9981666803359985
5,0.988611102104187,0.03816331923007965,0.001,0.9897555708885193,0.9876111149787903,0.9998888969421387,0.9421666860580444,0.17015129327774048,0.9479535222053528,0.9380000233650208,0.999666690826416
6,0.988703727722168,0.03665267303586006,0.001,0.989812970161438,0.9878333210945129,0.9998703598976135,0.8483333587646484,0.6003021597862244,0.8827062249183655,0.8328333497047424,0.9698333144187927
7,0.9901296496391296,0.03318270668387413,0.001,0.9911166429519653,0.9896666407585144,0.9999444484710693,0.684166669845581,1.2474849224090576,0.6881937384605408,0.6819999814033508,0.9993333220481873
8,0.9917592406272888,0.02777971141040325,0.001,0.9923798441886902,0.9912037253379822,0.9999259114265442,0.9773333072662354,0.07987803965806961,0.981391429901123,0.9756666421890259,0.9984999895095825
9,0.992111086845398,0.02716653048992157,0.001,0.9926955699920654,0.9915925860404968,0.9998888969421387,0.890999972820282,0.33496102690696716,0.9061266779899597,0.8799999952316284,0.9976666569709778
10,0.9924629926681519,0.024574583396315575,0.001,0.9931954145431519,0.9919815063476562,0.9999629855155945,0.8948333263397217,0.4145914614200592,0.9079239964485168,0.8841666579246521,0.9863333106040955
