epoch,accuracy,loss,lr,precision,recall,top5_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top5_accuracy
0,0.9343147873878479,0.2418324053287506,0.001,0.968835175037384,0.9021111130714417,0.9922778010368347,0.30916666984558105,2.9476428031921387,0.6569746136665344,0.29750001430511475,0.6886666417121887
1,0.9744629859924316,0.08638065308332443,0.001,0.9798780679702759,0.9703333377838135,0.9993888735771179,0.5226666927337646,2.222017765045166,0.5363057255744934,0.4911666810512543,0.9401666522026062
2,0.9811111092567444,0.0631135031580925,0.001,0.9843490719795227,0.9783518314361572,0.9998888969421387,0.7695000171661377,0.7900408506393433,0.7889536023139954,0.7451666593551636,0.9976666569709778
3,0.982703685760498,0.05725625157356262,0.001,0.9849330186843872,0.980555534362793,0.9996481537818909,0.48899999260902405,1.8720989227294922,0.5306712985038757,0.4584999978542328,0.9861666560173035
4,0.9859814643859863,0.04609682038426399,0.001,0.9875178933143616,0.9845370650291443,0.999833345413208,0.6701666712760925,1.3709588050842285,0.7170642018318176,0.6513333320617676,0.9471666812896729
5,0.9874444603919983,0.04136792570352554,0.001,0.988896906375885,0.9863148331642151,0.999833345413208,0.8153333067893982,0.6722869277000427,0.8299791812896729,0.7973333597183228,0.9991666674613953
6,0.9894258975982666,0.03335059806704521,0.001,0.9905717968940735,0.9883888959884644,0.9998888969421387,0.753333330154419,0.8453413844108582,0.7846455574035645,0.73416668176651,0.9898333549499512
7,0.9889629483222961,0.03328617289662361,0.001,0.9898733496665955,0.9883518815040588,0.9999074339866638,0.32100000977516174,2.79862380027771,0.3223661184310913,0.3070000112056732,0.9929999709129333
8,0.9905370473861694,0.029812397435307503,0.001,0.9913209676742554,0.9899073839187622,0.9999074339866638,0.8324999809265137,0.474778413772583,0.8516387939453125,0.8141666650772095,0.9990000128746033
9,0.9917592406272888,0.02484383061528206,0.001,0.9924173355102539,0.9912962913513184,0.9999814629554749,0.7698333263397217,0.8876147270202637,0.790015697479248,0.7543333172798157,0.9850000143051147
10,0.9920555353164673,0.024131348356604576,0.001,0.9926211833953857,0.9914814829826355,0.9999814629554749,0.7703333497047424,0.9504077434539795,0.7785702347755432,0.7641666531562805,0.996999979019165
11,0.9940184950828552,0.020371807739138603,0.001,0.9945502281188965,0.9935740828514099,0.9999629855155945,0.6441666483879089,1.5168583393096924,0.6550112366676331,0.6306666731834412,0.9810000061988831
12,0.9936666488647461,0.02045576460659504,0.001,0.9941428303718567,0.9932407140731812,0.9999814629554749,0.8161666393280029,0.5899779796600342,0.8436061143875122,0.793833315372467,0.9931666851043701
13,0.9935370087623596,0.019587092101573944,0.001,0.9939035773277283,0.9932777881622314,0.9999814629554749,0.8420000076293945,0.8516160249710083,0.8646904826164246,0.8264999985694885,0.9663333296775818
14,0.9969815015792847,0.00930462870746851,0.0005,0.997073233127594,0.9967963099479675,0.9999814629554749,0.9776666760444641,0.08365866541862488,0.9784641265869141,0.9768333435058594,0.999833345413208
15,0.9979814887046814,0.006574722472578287,0.0005,0.9980920553207397,0.9978148341178894,1.0,0.9769999980926514,0.08812181651592255,0.9786096215248108,0.9760000109672546,0.9994999766349792
16,0.9983333349227905,0.005837962031364441,0.0005,0.998444139957428,0.9982407689094543,0.9999814629554749,0.9816666841506958,0.0755942091345787,0.9828075170516968,0.981333315372467,0.999666690826416
17,0.9982222318649292,0.006144485902041197,0.0005,0.9983329772949219,0.9981111288070679,1.0,0.6959999799728394,1.3830517530441284,0.6985492706298828,0.6901666522026062,0.9973333477973938
18,0.9979259371757507,0.006123575381934643,0.0005,0.9979625940322876,0.9977962970733643,0.9999814629554749,0.9728333353996277,0.10132655501365662,0.9739348292350769,0.9714999794960022,0.999666690826416
19,0.9975185394287109,0.006889237090945244,0.0005,0.9976291656494141,0.99742591381073,1.0,0.7863333225250244,0.9832521677017212,0.7891819477081299,0.7829999923706055,0.9980000257492065
20,0.9982777833938599,0.005731773097068071,0.0005,0.9983701109886169,0.9982222318649292,1.0,0.9649999737739563,0.13889479637145996,0.9667335152626038,0.9638333320617676,0.9991666674613953
