epoch,accuracy,loss,lr,precision,recall,top5_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top5_accuracy
0,0.9474814534187317,0.16937603056430817,0.001,0.9587277173995972,0.9416481256484985,0.9964814782142639,0.9626666903495789,0.12914592027664185,0.9658766388893127,0.9576666951179504,0.9994999766349792
1,0.9794999957084656,0.06573711335659027,0.001,0.9814773797988892,0.9783148169517517,0.999666690826416,0.9631666541099548,0.13317225873470306,0.9663147330284119,0.9610000252723694,0.9986666440963745
2,0.9868888854980469,0.04394854977726936,0.001,0.9879575967788696,0.9860000014305115,0.9998518228530884,0.8949999809265137,0.34295061230659485,0.8987235426902771,0.8918333053588867,0.9990000128746033
3,0.9880370497703552,0.03898988664150238,0.001,0.9889445304870605,0.9872962832450867,0.9999259114265442,0.9775000214576721,0.07365310937166214,0.9789508581161499,0.9766666889190674,0.999833345413208
4,0.990407407283783,0.028726330026984215,0.001,0.990989625453949,0.9898518323898315,0.9999629855155945,0.9838333129882812,0.05838974565267563,0.9846436381340027,0.9831666946411133,0.999666690826416
5,0.9919629693031311,0.025583192706108093,0.001,0.9924193024635315,0.9915555715560913,0.9999444484710693,0.9779999852180481,0.07835281640291214,0.9797828197479248,0.9773333072662354,0.999833345413208
6,0.9928333163261414,0.02235468290746212,0.001,0.9933093786239624,0.9925000071525574,1.0,0.9789999723434448,0.07599892467260361,0.9807756543159485,0.9778333306312561,1.0
7,0.99272221326828,0.022152798250317574,0.001,0.9931435585021973,0.9924814701080322,1.0,0.9781666398048401,0.0731644257903099,0.9806084632873535,0.9776666760444641,0.9991666674613953
8,0.9946110844612122,0.0161814633756876,0.001,0.9949417114257812,0.9944074153900146,0.9999814629554749,0.9806666374206543,0.08471283316612244,0.9816452264785767,0.9804999828338623,0.9994999766349792
9,0.9936296343803406,0.01910807378590107,0.001,0.9939226508140564,0.9933888912200928,1.0,0.987666666507721,0.04421341419219971,0.9888147115707397,0.9871666431427002,1.0
10,0.9947407245635986,0.01645057462155819,0.001,0.9949420094490051,0.9944629669189453,0.9999814629554749,0.9821666479110718,0.07721994072198868,0.982324481010437,0.9818333387374878,0.999666690826416
11,0.9951111078262329,0.015370165929198265,0.001,0.9952573180198669,0.99485182762146,1.0,0.9829999804496765,0.07267838716506958,0.9836503267288208,0.9826666712760925,0.9994999766349792
12,0.9950740933418274,0.014714790508151054,0.001,0.995294451713562,0.9949073791503906,1.0,0.9869999885559082,0.05481582507491112,0.9883158206939697,0.9868333339691162,1.0
13,0.9953888654708862,0.013295023702085018,0.001,0.9955911040306091,0.9952592849731445,0.9999814629554749,0.9794999957084656,0.08510971069335938,0.9803037643432617,0.9788333177566528,0.999666690826416
14,0.9967036843299866,0.010946237482130527,0.001,0.9968693256378174,0.9965370297431946,1.0,0.9878333210945129,0.058409031480550766,0.987991988658905,0.987333357334137,0.999666690826416
15,0.9988518357276917,0.0038170223124325275,0.0005,0.9988887906074524,0.9988148212432861,1.0,0.9921666383743286,0.03992980346083641,0.9928273558616638,0.9919999837875366,0.999833345413208
16,0.9992222189903259,0.0022792641539126635,0.0005,0.9992222189903259,0.9992222189903259,1.0,0.9923333525657654,0.039348304271698,0.9923333525657654,0.9923333525657654,0.999833345413208
17,0.9994999766349792,0.0016548288986086845,0.0005,0.9995185136795044,0.9994999766349792,1.0,0.9928333163261414,0.03359736129641533,0.9929976463317871,0.9926666617393494,0.999833345413208
18,0.999833345413208,0.0006349738105200231,0.0005,0.999833345413208,0.999833345413208,1.0,0.9934999942779541,0.0342220701277256,0.9934999942779541,0.9934999942779541,1.0
19,0.9987037181854248,0.003919844049960375,0.0005,0.9987591505050659,0.9986851811408997,1.0,0.9850000143051147,0.059119075536727905,0.9854878783226013,0.984666645526886,0.9994999766349792
20,0.9982407689094543,0.005662995856255293,0.0005,0.998314619064331,0.998203694820404,1.0,0.9898333549499512,0.04661910608410835,0.9901617765426636,0.9896666407585144,0.999833345413208
21,0.9981111288070679,0.0061597940512001514,0.0005,0.9981479644775391,0.9980370402336121,1.0,0.9929999709129333,0.031218530610203743,0.9931643605232239,0.9928333163261414,1.0
22,0.9984444379806519,0.0052514830604195595,0.0005,0.9984814524650574,0.9984444379806519,1.0,0.9923333525657654,0.03469615802168846,0.9928297400474548,0.9923333525657654,0.999666690826416
23,0.9995555281639099,0.0013357180869206786,0.0005,0.9995740652084351,0.9995555281639099,1.0,0.9925000071525574,0.04042509198188782,0.9925000071525574,0.9925000071525574,1.0
24,0.9991852045059204,0.0028043407946825027,0.0005,0.9991851449012756,0.9991666674613953,1.0,0.9823333621025085,0.08921768516302109,0.9833110570907593,0.9819999933242798,0.999833345413208
25,0.9984444379806519,0.004916253499686718,0.0005,0.9984629154205322,0.9984444379806519,1.0,0.9916666746139526,0.04362436383962631,0.9919973611831665,0.9916666746139526,0.999833345413208
26,0.9991296529769897,0.002843667520210147,0.0005,0.9991481304168701,0.9991111159324646,1.0,0.9919999837875366,0.0394509918987751,0.9919986724853516,0.9918333292007446,1.0
27,0.9997777938842773,0.0009017341071739793,0.00025,0.9997777938842773,0.9997592568397522,1.0,0.9929999709129333,0.03565177321434021,0.9931643605232239,0.9928333163261414,0.999833345413208
28,0.9999259114265442,0.0002734028093982488,0.00025,0.9999259114265442,0.9999259114265442,1.0,0.9933333396911621,0.037134069949388504,0.9933300018310547,0.9928333163261414,0.999833345413208
