epoch,accuracy,loss,lr,precision,recall,top5_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top5_accuracy
0,0.9483333230018616,0.1705392301082611,0.001,0.958683431148529,0.9423148036003113,0.9962592720985413,0.6706666946411133,1.1939728260040283,0.6975013017654419,0.656000018119812,0.9925000071525574
1,0.9801852107048035,0.06834974139928818,0.001,0.9818857312202454,0.9787036776542664,0.9996851682662964,0.9766666889190674,0.07884329557418823,0.9794176816940308,0.9754999876022339,0.9990000128746033
2,0.9841296076774597,0.05203324928879738,0.001,0.9851391315460205,0.9833148121833801,0.9998888969421387,0.9580000042915344,0.12775249779224396,0.9611194729804993,0.9558333158493042,0.9994999766349792
3,0.9875184893608093,0.0404755100607872,0.001,0.9884637594223022,0.9869444370269775,0.9999074339866638,0.9578333497047424,0.14722256362438202,0.9599999785423279,0.9559999704360962,0.9988333582878113
4,0.9890000224113464,0.03600340709090233,0.001,0.9894700050354004,0.9883888959884644,0.9999444484710693,0.9664999842643738,0.13035538792610168,0.9691947102546692,0.9648333191871643,0.9981666803359985
5,0.9906296133995056,0.030936961993575096,0.001,0.9911952018737793,0.990240752696991,0.9999629855155945,0.9818333387374878,0.06106424331665039,0.9826232194900513,0.9801666736602783,0.999666690826416
6,0.9921851754188538,0.025946233421564102,0.001,0.9927518963813782,0.9917407631874084,0.9999629855155945,0.9848333597183228,0.056468699127435684,0.9866287708282471,0.9838333129882812,1.0
7,0.992388904094696,0.02451186627149582,0.001,0.9926602840423584,0.9917963147163391,1.0,0.9643333554267883,0.12440438568592072,0.9668508172035217,0.9624999761581421,0.9994999766349792
8,0.9922778010368347,0.024722183123230934,0.001,0.9926978945732117,0.9919074177742004,0.9999814629554749,0.9396666884422302,0.18713617324829102,0.9471991658210754,0.9328333139419556,0.9994999766349792
9,0.9938148260116577,0.020424453541636467,0.001,0.9941442608833313,0.993481457233429,0.9999814629554749,0.9804999828338623,0.07415648549795151,0.981475293636322,0.9801666736602783,0.9991666674613953
10,0.993759274482727,0.019804371520876884,0.001,0.9941623210906982,0.9934259057044983,0.9999259114265442,0.9741666913032532,0.09289620071649551,0.9754427075386047,0.9731666445732117,0.9988333582878113
11,0.992814838886261,0.022267775610089302,0.001,0.9932727813720703,0.9925370216369629,0.9999629855155945,0.9853333234786987,0.05454884469509125,0.9863150715827942,0.9850000143051147,1.0
12,0.9950740933418274,0.016306525096297264,0.001,0.9952749013900757,0.9946666955947876,0.9999814629554749,0.9861666560173035,0.05142153054475784,0.9863265156745911,0.9858333468437195,0.999666690826416
13,0.9939629435539246,0.019397614523768425,0.001,0.9941829442977905,0.9937962889671326,0.9999814629554749,0.9894999861717224,0.04033953696489334,0.9898248314857483,0.9890000224113464,1.0
14,0.9948148131370544,0.01712041161954403,0.001,0.9950904250144958,0.9946481585502625,0.9999814629554749,0.9851666688919067,0.05843163654208183,0.9854878783226013,0.984666645526886,0.999666690826416
15,0.9947777986526489,0.016901487484574318,0.001,0.9950166940689087,0.9946481585502625,0.9999814629554749,0.9818333387374878,0.06703047454357147,0.9829773306846619,0.9816666841506958,0.999833345413208
16,0.9957407116889954,0.013959390111267567,0.001,0.9960533380508423,0.9955000281333923,1.0,0.9794999957084656,0.08146034926176071,0.9801534414291382,0.9794999957084656,0.9990000128746033
17,0.9952037334442139,0.01598832570016384,0.001,0.9953872561454773,0.9950370192527771,0.9999814629554749,0.9739999771118164,0.11032610386610031,0.9751169085502625,0.9731666445732117,0.999833345413208
18,0.9963333606719971,0.011644446291029453,0.001,0.9965729117393494,0.9962407350540161,1.0,0.9825000166893005,0.07329437136650085,0.9826608896255493,0.9823333621025085,0.9993333220481873
19,0.998796284198761,0.004362899344414473,0.0005,0.9988147020339966,0.9987221956253052,1.0,0.9928333163261414,0.029927171766757965,0.9928309321403503,0.9925000071525574,1.0
20,0.9993703961372375,0.00217562448233366,0.0005,0.9994073510169983,0.9992963075637817,1.0,0.9944999814033508,0.024526504799723625,0.9946649074554443,0.9943333268165588,1.0
21,0.9993333220481873,0.0019243360729888082,0.0005,0.9993518590927124,0.9993333220481873,1.0,0.9916666746139526,0.03336305171251297,0.9921614527702332,0.9915000200271606,1.0
22,0.998462975025177,0.00490338820964098,0.0005,0.9984814524650574,0.9984444379806519,1.0,0.9900000095367432,0.041463449597358704,0.9904921054840088,0.9896666407585144,1.0
23,0.9984999895095825,0.004869998898357153,0.0005,0.9985182881355286,0.998370349407196,1.0,0.9901666641235352,0.04187435284256935,0.9903317093849182,0.9901666641235352,0.999833345413208
24,0.9989259243011475,0.0036707744002342224,0.0005,0.9989259243011475,0.9989073872566223,1.0,0.9915000200271606,0.036917634308338165,0.9916638731956482,0.9913333058357239,1.0
25,0.9984259009361267,0.00450171809643507,0.0005,0.9984998106956482,0.9983888864517212,1.0,0.9903333187103271,0.03876609727740288,0.9906573295593262,0.9896666407585144,1.0
26,0.9994814991950989,0.0017807125113904476,0.00025,0.9995185136795044,0.9994814991950989,1.0,0.9943333268165588,0.024229612201452255,0.9943333268165588,0.9943333268165588,1.0
27,1.0,0.00023056250938680023,0.00025,1.0,1.0,1.0,0.9946666955947876,0.02407476119697094,0.9946666955947876,0.9946666955947876,1.0
