experiment_name,dataset,model,activation,test_loss,test_accuracy,test_top5_accuracy,test_precision,test_recall,training_time,total_params,trainable_params
fashion_mnist_alexnet_small_mish,fashion_mnist,alexnet_small,mish,0.6538540720939636,0.9225999712944031,0.9958999752998352,0.9232231974601746,0.9222999811172485,190.07423973083496,2552464,2547984
fashion_mnist_vgg16_small_relu,fashion_mnist,vgg16_small,relu,0.45177313685417175,0.9359999895095825,0.9991000294685364,0.9367367625236511,0.9358000159263611,308.0863423347473,3500976,3495216
fashion_mnist_vgg16_small_sigmoid,fashion_mnist,vgg16_small,sigmoid,0.5038345456123352,0.9251999855041504,0.9962999820709229,0.9260038137435913,0.9247999787330627,464.5006687641144,3500976,3495216
fashion_mnist_vgg16_small_tanh,fashion_mnist,vgg16_small,tanh,0.49274200201034546,0.9297000169754028,0.998199999332428,0.9305305480957031,0.9296000003814697,607.4195585250854,3500976,3495216
fashion_mnist_vgg16_small_swish,fashion_mnist,vgg16_small,swish,0.4049437642097473,0.9325000047683716,0.9988999962806702,0.9336004257202148,0.932200014591217,318.9107575416565,3500976,3495216
fashion_mnist_vgg16_small_gelu,fashion_mnist,vgg16_small,gelu,0.48028549551963806,0.9380000233650208,0.9984999895095825,0.938520073890686,0.9373000264167786,408.5273473262787,3500976,3495216
fashion_mnist_vgg16_small_mish,fashion_mnist,vgg16_small,mish,0.4527653455734253,0.9355999827384949,0.9973000288009644,0.9366176128387451,0.9354000091552734,350.3921525478363,3500976,3495216
fashion_mnist_resnet18_relu,fashion_mnist,resnet18,relu,0.4434984028339386,0.9266999959945679,0.9980999827384949,0.9279487133026123,0.9259999990463257,494.66831707954407,11196048,11186448
fashion_mnist_resnet18_sigmoid,fashion_mnist,resnet18,sigmoid,0.35929879546165466,0.9158999919891357,0.9976999759674072,0.9191797375679016,0.9143999814987183,642.0352165699005,11196048,11186448
fashion_mnist_resnet18_tanh,fashion_mnist,resnet18,tanh,0.4837244749069214,0.92330002784729,0.9980000257492065,0.9241483211517334,0.9222999811172485,656.9860301017761,11196048,11186448
fashion_mnist_resnet18_swish,fashion_mnist,resnet18,swish,0.507374107837677,0.9236999750137329,0.9979000091552734,0.9243319034576416,0.9235000014305115,503.27445244789124,11196048,11186448
fashion_mnist_resnet18_gelu,fashion_mnist,resnet18,gelu,0.7001549601554871,0.9243999719619751,0.9969000220298767,0.92448490858078,0.9243000149726868,707.8070785999298,11196048,11186448
