epoch,accuracy,loss,lr,precision,recall,top5_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top5_accuracy
0,0.9624074101448059,0.12290137261152267,0.001,0.9742045402526855,0.9553518295288086,0.9959999918937683,0.9553333520889282,0.14589375257492065,0.9585013389587402,0.9508333206176758,0.9993333220481873
1,0.9857592582702637,0.048289261758327484,0.001,0.9874588847160339,0.9842222332954407,0.9999074339866638,0.9826666712760925,0.06514179706573486,0.9834807515144348,0.9823333621025085,0.9994999766349792
2,0.9893888831138611,0.03523818030953407,0.001,0.990772545337677,0.9882222414016724,0.9999444484710693,0.9826666712760925,0.06358642876148224,0.9834752082824707,0.9819999933242798,0.999666690826416
3,0.9919999837875366,0.0278310663998127,0.001,0.9929885864257812,0.9913703799247742,0.9999444484710693,0.9896666407585144,0.03301265835762024,0.9901551604270935,0.9890000224113464,0.999833345413208
4,0.9930185079574585,0.024422908201813698,0.001,0.9938411116600037,0.992111086845398,0.9999444484710693,0.9838333129882812,0.05768859386444092,0.984646201133728,0.9833333492279053,0.999833345413208
5,0.9932777881622314,0.02240758202970028,0.001,0.9938265681266785,0.9927407503128052,1.0,0.9879999756813049,0.04927520081400871,0.9884923100471497,0.9878333210945129,0.9993333220481873
6,0.9937407374382019,0.020609403029084206,0.001,0.9943093061447144,0.9933518767356873,0.9999444484710693,0.9894999861717224,0.041503701359033585,0.9904841184616089,0.9888333082199097,0.999666690826416
7,0.9940370321273804,0.019929703325033188,0.001,0.9946049451828003,0.9934629797935486,0.9999629855155945,0.9904999732971191,0.03438274562358856,0.9909879565238953,0.9896666407585144,0.999833345413208
8,0.9946481585502625,0.017759762704372406,0.001,0.9952170252799988,0.9941296577453613,1.0,0.9911666512489319,0.03605484217405319,0.9914929270744324,0.9906666874885559,0.999833345413208
9,0.9978518486022949,0.007566235493868589,0.0005,0.9979993104934692,0.9976666569709778,1.0,0.9950000047683716,0.021042853593826294,0.9951650500297546,0.9948333501815796,0.999833345413208
10,0.9986851811408997,0.00480819633230567,0.0005,0.9987775683403015,0.9986110925674438,1.0,0.9953333139419556,0.02083718404173851,0.9954984784126282,0.9951666593551636,1.0
11,0.9983518719673157,0.005748340860009193,0.0005,0.9984627366065979,0.9983147978782654,1.0,0.9921666383743286,0.031400229781866074,0.9921640753746033,0.9918333292007446,1.0
12,0.9975000023841858,0.00891790073364973,0.0005,0.9975919723510742,0.9973333477973938,1.0,0.9951666593551636,0.019744032993912697,0.9953317642211914,0.9950000047683716,1.0
13,0.9975370168685913,0.008859585970640182,0.0005,0.9977215528488159,0.99742591381073,0.9999814629554749,0.9953333139419556,0.018751615658402443,0.9956651926040649,0.9953333139419556,1.0
14,0.9981111288070679,0.006600461434572935,0.0005,0.9981664419174194,0.9980370402336121,1.0,0.9911666512489319,0.0327262356877327,0.9918237924575806,0.9906666874885559,0.999833345413208
